Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,created_at
41,Yes,Travel_Rarely,927.5714286,Sales,1,2,Life Sciences,1,1,2,Female,122.0488722,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,3/01/2026
49,No,Travel_Frequently,1186.047619,Research & Development,8,1,Life Sciences,1,2,3,Male,156.0588972,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,24/11/2025
37,Yes,Travel_Rarely,114.0952381,Research & Development,2,2,Other,1,4,4,Male,15.01253133,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,23/01/2026
33,No,Travel_Frequently,1102.809524,Research & Development,3,4,Life Sciences,1,5,4,Female,145.1065163,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,11/12/2025
27,No,Travel_Rarely,792,Research & Development,2,1,Medical,1,7,1,Male,104.2105263,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,15/11/2025
32,No,Travel_Frequently,564.952381,Research & Development,2,2,Life Sciences,1,8,4,Male,74.3358396,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,1/11/2025
59,No,Travel_Rarely,474.4761905,Research & Development,3,3,Medical,1,10,3,Female,62.43107769,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,13/11/2025
30,No,Travel_Rarely,635,Research & Development,24,1,Life Sciences,1,11,4,Male,83.55263158,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,15/11/2025
38,No,Travel_Frequently,418.4285714,Research & Development,23,3,Life Sciences,1,12,4,Male,55.05639098,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,26/11/2025
36,No,Travel_Rarely,789.3809524,Research & Development,27,3,Medical,1,13,3,Male,103.8659148,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,30/12/2025
35,No,Travel_Rarely,784.7142857,Research & Development,16,3,Medical,1,14,1,Male,103.2518797,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,4/01/2026
29,No,Travel_Rarely,603.9047619,Research & Development,15,2,Life Sciences,1,15,4,Female,79.46115288,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,24/11/2025
31,No,Travel_Rarely,722.3809524,Research & Development,26,1,Life Sciences,1,16,1,Male,95.05012531,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,14/11/2025
34,No,Travel_Rarely,417.047619,Research & Development,19,2,Medical,1,18,2,Male,54.87468672,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,23/01/2026
28,Yes,Travel_Rarely,616.5238095,Research & Development,24,3,Life Sciences,1,19,3,Male,81.12155388,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,20/11/2025
29,No,Travel_Rarely,485.4761905,Research & Development,21,4,Life Sciences,1,20,2,Female,63.87844612,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,10/12/2025
32,No,Travel_Rarely,716.8095238,Research & Development,5,2,Life Sciences,1,21,1,Male,94.31704261,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,12/01/2026
22,No,Non-Travel,348.7619048,Research & Development,16,2,Medical,1,22,4,Male,45.88972431,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,10/01/2026
53,No,Travel_Rarely,1048.619048,Sales,2,4,Life Sciences,1,23,1,Female,137.9761905,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,3/12/2025
38,No,Travel_Rarely,205.047619,Research & Development,2,3,Life Sciences,1,24,4,Male,26.97994987,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,18/01/2026
24,No,Non-Travel,392,Research & Development,11,2,Other,1,26,1,Female,51.57894737,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,6/11/2025
36,Yes,Travel_Rarely,332.6666667,Sales,9,4,Life Sciences,1,27,3,Male,43.77192982,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,20/11/2025
34,No,Travel_Rarely,1013.952381,Research & Development,7,4,Life Sciences,1,28,1,Female,133.414787,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,9/01/2026
21,No,Travel_Rarely,918.1428571,Research & Development,15,2,Life Sciences,1,30,3,Male,120.8082707,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,7/11/2025
34,Yes,Travel_Rarely,814.3809524,Research & Development,6,1,Medical,1,31,2,Male,107.1553885,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,22/01/2026
53,No,Travel_Rarely,511.1904762,Research & Development,5,3,Other,1,32,3,Female,67.26190476,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,6/02/2026
32,Yes,Travel_Frequently,222.9047619,Research & Development,16,1,Life Sciences,1,33,2,Female,29.32957393,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,25/01/2026
42,No,Travel_Rarely,1008.238095,Sales,8,4,Marketing,1,35,3,Male,132.6629073,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,2/12/2025
44,No,Travel_Rarely,99.71428571,Research & Development,7,4,Medical,1,36,1,Female,13.12030075,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,25/11/2025
46,No,Travel_Rarely,1086.761905,Sales,2,4,Marketing,1,38,2,Female,142.9949875,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,4/01/2026
33,No,Travel_Rarely,317.6190476,Research & Development,2,3,Medical,1,39,3,Male,41.79197995,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,19/12/2025
44,No,Travel_Rarely,910.5238095,Research & Development,10,4,Other,1,40,4,Male,119.8057644,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,23/11/2025
30,No,Travel_Rarely,767.4761905,Research & Development,9,2,Medical,1,41,4,Male,100.9837093,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,5/12/2025
39,Yes,Travel_Rarely,158.8095238,Sales,5,3,Technical Degree,1,42,4,Male,20.89598997,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,1/12/2025
24,Yes,Travel_Rarely,143.8095238,Research & Development,1,3,Medical,1,45,2,Male,18.92230576,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,20/12/2025
43,No,Travel_Rarely,1043.952381,Research & Development,2,2,Medical,1,46,4,Female,137.3621554,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,3/11/2025
50,Yes,Travel_Rarely,181.4285714,Sales,3,2,Marketing,1,47,1,Male,23.87218045,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,15/12/2025
35,No,Travel_Rarely,461.2857143,Sales,2,3,Marketing,1,49,4,Female,60.69548872,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,2/02/2026
36,No,Travel_Rarely,622.4761905,Research & Development,5,4,Life Sciences,1,51,2,Female,81.9047619,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,1/02/2026
33,No,Travel_Frequently,152.047619,Sales,1,3,Life Sciences,1,52,3,Female,20.00626566,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,13/11/2025
35,No,Travel_Rarely,519.5238095,Research & Development,4,2,Other,1,53,3,Male,68.35839599,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,3/01/2026
27,No,Travel_Rarely,938.8095238,Research & Development,2,4,Life Sciences,1,54,4,Female,123.5275689,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,13/11/2025
26,Yes,Travel_Rarely,502.7619048,Research & Development,25,3,Life Sciences,1,55,1,Male,66.15288221,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,18/12/2025
27,No,Travel_Frequently,141.6666667,Sales,8,3,Life Sciences,1,56,4,Male,18.64035088,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,31/12/2025
30,No,Travel_Frequently,513.3809524,Research & Development,1,2,Medical,1,57,3,Female,67.55012531,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,11/12/2025
41,Yes,Travel_Rarely,775.2380952,Research & Development,12,3,Technical Degree,1,58,2,Female,102.0050125,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,20/12/2025
34,No,Non-Travel,477.8095238,Sales,23,4,Marketing,1,60,2,Male,62.86967419,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,13/12/2025
37,No,Travel_Rarely,487,Research & Development,19,2,Life Sciences,1,61,2,Male,64.07894737,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,11/11/2025
46,No,Travel_Frequently,973.5714286,Sales,5,4,Marketing,1,62,1,Male,128.1015038,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,24/01/2026
35,No,Travel_Rarely,232.952381,Research & Development,8,1,Life Sciences,1,63,4,Male,30.65162907,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,11/12/2025
48,Yes,Travel_Rarely,918.7619048,Research & Development,1,2,Life Sciences,1,64,1,Male,120.8897243,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,16/01/2026
